"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "Properties", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/register-form/register-form.tsx", "TypeScript JSX", 0, 242, 0, 0, 0, 0, 0, 0, 12, 16, 270
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/avatar.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/badge.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/button.tsx", "TypeScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/card.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 9, 77
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/carousel.tsx", "TypeScript JSX", 0, 232, 0, 0, 0, 0, 0, 0, 0, 31, 263
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/dialog.tsx", "TypeScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 0, 14, 123
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/form.tsx", "TypeScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 0, 26, 179
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/input.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/label.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/select.tsx", "TypeScript JSX", 0, 113, 0, 0, 0, 0, 0, 0, 1, 9, 123
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/sheet.tsx", "TypeScript JSX", 0, 125, 0, 0, 0, 0, 0, 0, 0, 16, 141
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/sonner.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/src/components/ui/toast.tsx", "TypeScript JSX", 0, 116, 0, 0, 0, 0, 0, 0, 0, 14, 130
